insee_code,commune_name,latitude,longitude
02042,Azy-sur-Marne,49.0061,3.3575
02043,Bagneux,49.4595,3.2776
02044,Bancigny,49.7997,4.0383
02046,Barenton-Bugny,49.6217,3.6612
02047,Barenton-Cel,49.6466,3.6448
02048,Barenton-sur-Serre,49.6682,3.6929
02049,Barisis-aux-Bois,49.5814,3.332
02050,Barzy-en-Thiérache,50.0378,3.7522
02051,Barzy-sur-Marne,49.09,3.5586
02052,Bassoles-Aulers,49.5328,3.3828
02053,Vallées en Champagne,49.0009,3.6203
02054,Bazoches-et-Saint-Thibaut,49.2991,3.6184
02055,Beaumé,49.8187,4.1529
02056,Beaumont-en-Beine,49.6876,3.1317
02057,Beaurevoir,49.9965,3.332
02058,Beaurieux,49.4029,3.7594
02059,Beautor,49.6472,3.3361
02060,Beauvois-en-Vermandois,49.8331,3.1023
02061,Becquigny,50.0143,3.458
02062,Belleau,49.0803,3.3036
02063,Bellenglise,49.9241,3.2431
02064,Belleu,49.3597,3.3439
02065,Bellicourt,49.9581,3.2284
02066,Benay,49.7556,3.3076
02067,Bergues-sur-Sambre,50.03,3.7114
02068,Berlancourt,49.7799,3.757
02069,Berlise,49.6628,4.1104
02070,Bernot,49.8827,3.4827
02071,Berny-Rivière,49.4118,3.152
02072,Berrieux,49.4828,3.8531
02073,Berry-au-Bac,49.4076,3.8947
02074,Bertaucourt-Epourdon,49.6283,3.3988
02075,Berthenicourt,49.7787,3.373
02076,Bertricourt,49.3975,4.0116
02078,Besmé,49.5348,3.1657
02079,Besmont,49.8209,4.116
02080,Besny-et-Loizy,49.5914,3.5778
02081,Béthancourt-en-Vaux,49.6274,3.1376
02082,Beugneux,49.2243,3.4187
02083,Beuvardes,49.1278,3.4884
02084,Bézu-le-Guéry,49.0101,3.2283
02085,Bézu-Saint-Germain,49.1045,3.4082
02086,Bichancourt,49.5787,3.2135
02087,Bieuxy,49.4469,3.2687
02088,Bièvres,49.4923,3.7141
02089,Billy-sur-Aisne,49.3555,3.3753
02090,Billy-sur-Ourcq,49.2233,3.301
02091,Blanzy-lès-Fismes,49.3378,3.6702
02093,Blérancourt,49.51,3.149
02094,Blesmes,49.0258,3.4628
02095,Bohain-en-Vermandois,49.9887,3.464
02096,Bois-lès-Pargny,49.7383,3.6567
02097,Boncourt,49.6287,3.9553
02098,Bonneil,49.0077,3.3476
02099,Bonnesvalyn,49.1235,3.3273
02100,Bony,49.9896,3.218
02101,Bosmont-sur-Serre,49.7381,3.8664
02102,Bouconville-Vauclair,49.4606,3.7609
02103,Boué,50.0101,3.7126
02104,Bouffignereux,49.3776,3.847
02105,Bouresches,49.0665,3.3191
02106,Bourg-et-Comin,49.4038,3.6565
02107,Bourguignon-sous-Coucy,49.5417,3.1579
02108,Bourguignon-sous-Montbavin,49.528,3.5389
02109,La Bouteille,49.8738,3.9602
02110,Braine,49.3488,3.5357
02111,Brancourt-en-Laonnois,49.517,3.4128
02112,Brancourt-le-Grand,49.9798,3.3956
02114,Brasles,49.0579,3.4195
02115,Braye-en-Laonnois,49.437,3.6096
02116,Braye-en-Thiérache,49.7665,3.9623
02117,Bray-Saint-Christophe,49.7738,3.142
02118,Braye,49.4222,3.3769
