code_insee,commune,cout_moyen_secheresse
01348,Saint-Didier-sur-Chalaronne,Entre 10 et 20k€
01349,Saint-Éloi,Pas de sinistre répertorié à CCR
01350,Saint-Étienne-du-Bois,Entre 10 et 20k€
01351,Saint-Étienne-sur-Chalaronne,Entre 5 et 10 k€
01352,Saint-Étienne-sur-Reyssouze,"Entre 0 et 2,5 k€"
01353,Sainte-Euphémie,Pas de sinistre répertorié à CCR
01354,Saint-Genis-Pouilly,Pas de sinistre répertorié à CCR
01355,Saint-Genis-sur-Menthon,Entre 5 et 10 k€
01356,Saint-Georges-sur-Renon,Pas de sinistre répertorié à CCR
01357,Saint-Germain-de-Joux,"Entre 0 et 2,5 k€"
01358,Saint-Germain-les-Paroisses,Pas de sinistre répertorié à CCR
01359,Saint-Germain-sur-Renon,"Entre 0 et 2,5 k€"
01360,Saint-Jean-de-Gonville,Pas de sinistre répertorié à CCR
01361,Saint-Jean-de-Niost,Pas de sinistre répertorié à CCR
01362,Saint-Jean-de-Thurigneux,Pas de sinistre répertorié à CCR
01363,Saint-Jean-le-Vieux,Plus de 20 k€
01364,Saint-Jean-sur-Reyssouze,Entre 10 et 20k€
01365,Saint-Jean-sur-Veyle,Entre 5 et 10 k€
01366,Sainte-Julie,Pas de sinistre répertorié à CCR
01367,Saint-Julien-sur-Reyssouze,Plus de 20 k€
01368,Saint-Julien-sur-Veyle,"Entre 0 et 2,5 k€"
01369,Saint-Just,Pas de sinistre répertorié à CCR
01370,Saint-Laurent-sur-Saône,Pas de sinistre répertorié à CCR
01371,Saint-Marcel,Pas de sinistre répertorié à CCR
01372,Saint-Martin-de-Bavel,Pas de sinistre répertorié à CCR
01373,Saint-Martin-du-Frêne,Pas de sinistre répertorié à CCR
01374,Saint-Martin-du-Mont,Entre 10 et 20k€
01375,Saint-Martin-le-Châtel,"Entre 0 et 2,5 k€"
01376,Saint-Maurice-de-Beynost,Pas de sinistre répertorié à CCR
01378,Saint-Maurice-de-Gourdans,Pas de sinistre répertorié à CCR
01379,Saint-Maurice-de-Rémens,Pas de sinistre répertorié à CCR
01380,Saint-Nizier-le-Bouchoux,Entre 10 et 20k€
01381,Saint-Nizier-le-Désert,Pas de sinistre répertorié à CCR
01382,Sainte-Olive,Pas de sinistre répertorié à CCR
01383,Saint-Paul-de-Varax,Pas de sinistre répertorié à CCR
